[2026-03-11 18:52:26] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:26] TCP | 192.168.1.198 -> 192.168.1.19 | Port 58066 -> 8009
[2026-03-11 18:52:27] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:27] TCP | 192.168.1.198 -> 192.168.1.19 | Port 58066 -> 8009
[2026-03-11 18:52:27] UDP | 192.168.1.19 -> 224.0.0.251 | Port 5353 -> 5353
[2026-03-11 18:52:27] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 50821
[2026-03-11 18:52:27] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 50846
[2026-03-11 18:52:27] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:27] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:27] TCP | 192.168.1.198 -> 192.168.1.19 | Port 58066 -> 8009
[2026-03-11 18:52:27] TCP | 192.168.1.198 -> 192.168.1.19 | Port 50846 -> 8009
[2026-03-11 18:52:27] TCP | 192.168.1.198 -> 192.168.1.19 | Port 50821 -> 8009
[2026-03-11 18:52:27] UDP | 192.168.1.19 -> 224.0.0.251 | Port 5353 -> 5353
[2026-03-11 18:52:28] UDP | 192.168.1.19 -> 224.0.0.251 | Port 5353 -> 5353
[2026-03-11 18:52:28] UDP | 192.168.1.19 -> 224.0.0.251 | Port 5353 -> 5353
[2026-03-11 18:52:29] UDP | 192.168.1.19 -> 224.0.0.251 | Port 5353 -> 5353
[2026-03-11 18:52:29] UDP | 192.168.1.19 -> 224.0.0.251 | Port 5353 -> 5353
[2026-03-11 18:52:30] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 50821
[2026-03-11 18:52:30] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 50846
[2026-03-11 18:52:30] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:30] TCP | 192.168.1.198 -> 192.168.1.19 | Port 50821 -> 8009
[2026-03-11 18:52:30] TCP | 192.168.1.198 -> 192.168.1.19 | Port 58066 -> 8009
[2026-03-11 18:52:30] TCP | 192.168.1.198 -> 192.168.1.19 | Port 50846 -> 8009
[2026-03-11 18:52:30] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 50821
[2026-03-11 18:52:30] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 50846
[2026-03-11 18:52:30] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:30] TCP | 192.168.1.198 -> 192.168.1.19 | Port 58066 -> 8009
[2026-03-11 18:52:30] TCP | 192.168.1.198 -> 192.168.1.19 | Port 58066 -> 8009
[2026-03-11 18:52:30] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:30] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:30] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:30] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:30] TCP | 192.168.1.198 -> 192.168.1.19 | Port 58066 -> 8009
[2026-03-11 18:52:30] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:30] TCP | 192.168.1.198 -> 192.168.1.19 | Port 58066 -> 8009
[2026-03-11 18:52:30] TCP | 192.168.1.198 -> 192.168.1.19 | Port 50846 -> 8009
[2026-03-11 18:52:30] TCP | 192.168.1.198 -> 192.168.1.19 | Port 50821 -> 8009
[2026-03-11 18:52:30] TCP | 192.168.1.19 -> 192.168.1.198 | Port 8009 -> 58066
[2026-03-11 18:52:30] UDP | 192.168.1.19 -> 224.0.0.251 | Port 5353 -> 5353
